档距,初应力,高差,绝缘子串长度,绝缘子串夹角,冰厚,脱冰率,串型,导线型号,跳跃高度
0.4,0,0,0,0,0.428571429,0.6,A,400/50,0.334090517
0.4,0,0,0,0,0.5,0.6,A,400/50,0.397901517
0.4,0,0,0,0,0.571428571,0.6,A,400/50,0.46051267
0.4,0,0,0,0,0.642857143,0.6,A,400/50,0.519554353
0.4,0,0,0,0,0.714285714,0.6,A,400/50,0.572355852
0.4,0,0,0,0,0.071428571,0.4,A,400/50,0.043505784
0.4,0,0,0,0,0.142857143,0.4,A,400/50,0.083527985
0.4,0,0,0,0,0.214285714,0.4,A,400/50,0.127903044
0.4,0,0,0,0,0.285714286,0.4,A,400/50,0.175858971
0.4,0,0,0,0,0.357142857,0.4,A,400/50,0.228701939
0.4,0,0,0,0,0.428571429,0.4,A,400/50,0.284521234
0.4,0,0,0,0,0.5,0.4,A,400/50,0.341598746
0.4,0,0,0,0,0.571428571,0.4,A,400/50,0.398261765
0.4,0,0,0,0,0.642857143,0.4,A,400/50,0.45258307
0.4,0,0,0,0,0.714285714,0.4,A,400/50,0.502454624
0.4,0,0,0,0,0.071428571,0.7,A,400/50,0.044518726
0.4,0,0,0,0,0.142857143,0.7,A,400/50,0.08687026
0.4,0,0,0,0,0.214285714,0.7,A,400/50,0.13461275
0.4,0,0,0,0,0.285714286,0.7,A,400/50,0.187208477
0.4,0,0,0,0,0.357142857,0.7,A,400/50,0.243944804
0.4,0,0,0,0,0.428571429,0.7,A,400/50,0.303941255
0.4,0,0,0,0,0.5,0.7,A,400/50,0.36628453
0.4,0,0,0,0,0.571428571,0.7,A,400/50,0.434252836
0.4,0,0,0,0,0.642857143,0.7,A,400/50,0.502984286
0.4,0,0,0,0,0.714285714,0.7,A,400/50,0.57038775
0.4,0,0,0,0,0.071428571,0.266666667,A,400/50,0.029725926
0.4,0,0,0,0,0.142857143,0.266666667,A,400/50,0.063554128
0.4,0,0,0,0,0.214285714,0.266666667,A,400/50,0.101714749
0.4,0,0,0,0,0.285714286,0.266666667,A,400/50,0.143666334
0.4,0,0,0,0,0.357142857,0.266666667,A,400/50,0.188673449
0.4,0,0,0,0,0.428571429,0.266666667,A,400/50,0.235829283
0.4,0,0,0,0,0.5,0.266666667,A,400/50,0.28732461
0.4,0,0,0,0,0.571428571,0.266666667,A,400/50,0.340364113
0.4,0,0,0,0,0.642857143,0.266666667,A,400/50,0.392900879
0.4,0,0,0,0,0.714285714,0.266666667,A,400/50,0.443197932
0.4,0.199507389,0,0,0,0.035714286,0.6,A,400/50,0.025395473
0.4,0.199507389,0,0,0,0.142857143,0.6,A,400/50,0.08960308
0.4,0.199507389,0,0,0,0.25,0.6,A,400/50,0.165026942
0.4,0.199507389,0,0,0,0.357142857,0.6,A,400/50,0.250165139
0.4,0.199507389,0,0,0,0.464285714,0.6,A,400/50,0.345011184
0.4,0.199507389,0,0,0,0.571428571,0.6,A,400/50,0.442190886
0.4,0.199507389,0,0,0,0.678571429,0.6,A,400/50,0.533973933
0.4,0.199507389,0,0,0,0.785714286,0.6,A,400/50,0.610244271
0.4,0.199507389,0,0,0,0.892857143,0.6,A,400/50,0.659655737
0.4,0.199507389,0,0,0,1,0.6,A,400/50,0.674670425
0.4,0.199507389,0,0,0,0.035714286,0.4,A,400/50,0.015593287
0.4,0.199507389,0,0,0,0.142857143,0.4,A,400/50,0.069956454
0.4,0.199507389,0,0,0,0.25,0.4,A,400/50,0.134762313
0.4,0.199507389,0,0,0,0.357142857,0.4,A,400/50,0.207866079
0.4,0.199507389,0,0,0,0.464285714,0.4,A,400/50,0.288533693
0.4,0.199507389,0,0,0,0.571428571,0.4,A,400/50,0.375478243
0.4,0.199507389,0,0,0,0.678571429,0.4,A,400/50,0.460344042
0.4,0.199507389,0,0,0,0.785714286,0.4,A,400/50,0.535450697
0.4,0.199507389,0,0,0,0.892857143,0.4,A,400/50,0.592280378
0.4,0.199507389,0,0,0,1,0.4,A,400/50,0.623933527
0.4,0.199507389,0,0,0,0.035714286,0.7,A,400/50,0.015170147
0.4,0.199507389,0,0,0,0.142857143,0.7,A,400/50,0.070975291
0.4,0.199507389,0,0,0,0.25,0.7,A,400/50,0.13912264
0.4,0.199507389,0,0,0,0.357142857,0.7,A,400/50,0.218359675
0.4,0.199507389,0,0,0,0.464285714,0.7,A,400/50,0.306621993
0.4,0.199507389,0,0,0,0.571428571,0.7,A,400/50,0.400965302
0.4,0.199507389,0,0,0,0.678571429,0.7,A,400/50,0.501006554
0.4,0.199507389,0,0,0,0.785714286,0.7,A,400/50,0.605264859
0.4,0.199507389,0,0,0,0.892857143,0.7,A,400/50,0.699172843
0.4,0.199507389,0,0,0,1,0.7,A,400/50,0.768219339
0.4,0.199507389,0,0,0,0.035714286,0.266666667,A,400/50,0.011073374
0.4,0.199507389,0,0,0,0.142857143,0.266666667,A,400/50,0.062659894
0.4,0.199507389,0,0,0,0.25,0.266666667,A,400/50,0.115887284
0.4,0.199507389,0,0,0,0.357142857,0.266666667,A,400/50,0.201551605
0.4,0.199507389,0,0,0,0.464285714,0.266666667,A,400/50,0.357376186
0.4,0.199507389,0,0,0,0.571428571,0.266666667,A,400/50,0.460616637
0.4,0.199507389,0,0,0,0.678571429,0.266666667,A,400/50,0.560295675
0.4,0.199507389,0,0,0,0.785714286,0.266666667,A,400/50,0.645731229
0.4,0.199507389,0,0,0,0.892857143,0.266666667,A,400/50,0.703330345
0.4,0.199507389,0,0,0,1,0.266666667,A,400/50,0.721725436
0.4,0.346469622,0,0,0,0.035714286,0.133333333,A,400/50,0.014486402
0.4,0.346469622,0,0,0,0.142857143,0.133333333,A,400/50,0.065247081
0.4,0.346469622,0,0,0,0.25,0.133333333,A,400/50,0.124502987
0.4,0.346469622,0,0,0,0.357142857,0.133333333,A,400/50,0.191480559
0.4,0.346469622,0,0,0,0.464285714,0.133333333,A,400/50,0.264642107
0.4,0.346469622,0,0,0,0.571428571,0.133333333,A,400/50,0.337624021
0.4,0.346469622,0,0,0,0.678571429,0.133333333,A,400/50,0.404533395
0.4,0.346469622,0,0,0,0.785714286,0.133333333,A,400/50,0.461344209
0.4,0.346469622,0,0,0,0.892857143,0.133333333,A,400/50,0.499553964
0.4,0.346469622,0,0,0,1,0.133333333,A,400/50,0.513843634
0.4,0.346469622,0,0,0,0.035714286,0.5,A,400/50,0.02071106
0.4,0.346469622,0,0,0,0.142857143,0.5,A,400/50,0.079760998
0.4,0.346469622,0,0,0,0.25,0.5,A,400/50,0.149662225
0.4,0.346469622,0,0,0,0.357142857,0.5,A,400/50,0.228025269
0.4,0.346469622,0,0,0,0.464285714,0.5,A,400/50,0.315865429
0.4,0.346469622,0,0,0,0.571428571,0.5,A,400/50,0.408014031
0.4,0.346469622,0,0,0,0.678571429,0.5,A,400/50,0.496771421
0.4,0.346469622,0,0,0,0.785714286,0.5,A,400/50,0.57330885
0.4,0.346469622,0,0,0,0.892857143,0.5,A,400/50,0.628084937
0.4,0.346469622,0,0,0,1,0.5,A,400/50,0.653056287
0.4,0.346469622,0,0,0,0.035714286,0.866666667,A,400/50,0.026966181
0.4,0.346469622,0,0,0,0.142857143,0.866666667,A,400/50,0.094405217
0.4,0.346469622,0,0,0,0.25,0.866666667,A,400/50,0.17516422
0.4,0.346469622,0,0,0,0.357142857,0.866666667,A,400/50,0.267317342
0.4,0.346469622,0,0,0,0.464285714,0.866666667,A,400/50,0.368041357
0.4,0.346469622,0,0,0,0.571428571,0.866666667,A,400/50,0.47811258
0.4,0.346469622,0,0,0,0.678571429,0.866666667,A,400/50,0.592743219
0.4,0.346469622,0,0,0,0.785714286,0.866666667,A,400/50,0.700010868
0.4,0.346469622,0,0,0,0.892857143,0.866666667,A,400/50,0.783674659
0.4,0.346469622,0,0,0,1,0.866666667,A,400/50,0.822983634
0.4,0.346469622,0,0,0,0.035714286,0.3,A,400/50,0.017311593
0.4,0.346469622,0,0,0,0.142857143,0.3,A,400/50,0.071824912
0.4,0.346469622,0,0,0,0.25,0.3,A,400/50,0.13588217
0.4,0.346469622,0,0,0,0.357142857,0.3,A,400/50,0.207690967
0.4,0.346469622,0,0,0,0.464285714,0.3,A,400/50,0.287916966
0.4,0.346469622,0,0,0,0.571428571,0.3,A,400/50,0.369360697
0.4,0.346469622,0,0,0,0.678571429,0.3,A,400/50,0.445630643
0.4,0.346469622,0,0,0,0.785714286,0.3,A,400/50,0.509458937
0.4,0.346469622,0,0,0,0.892857143,0.3,A,400/50,0.555013992
0.4,0.346469622,0,0,0,1,0.3,A,400/50,0.574072979
0.4,0.421182266,0,0,0,0.035714286,1,A,400/50,0.028119252
0.4,0.421182266,0,0,0,0.142857143,1,A,400/50,0.096808251
0.4,0.421182266,0,0,0,0.25,1,A,400/50,0.179695925
0.4,0.421182266,0,0,0,0.357142857,1,A,400/50,0.275210386
0.4,0.421182266,0,0,0,0.464285714,1,A,400/50,0.381082833
0.4,0.421182266,0,0,0,0.571428571,1,A,400/50,0.494120752
0.4,0.421182266,0,0,0,0.678571429,1,A,400/50,0.614736866
0.4,0.421182266,0,0,0,0.785714286,1,A,400/50,0.738493217
0.4,0.421182266,0,0,0,0.892857143,1,A,400/50,0.845152394
0.4,0.421182266,0,0,0,1,1,A,400/50,0.908049702
0.4,0.421182266,0,0,0,0.035714286,0.333333333,A,400/50,0.017106804
0.4,0.421182266,0,0,0,0.142857143,0.333333333,A,400/50,0.071074345
0.4,0.421182266,0,0,0,0.25,0.333333333,A,400/50,0.134972016
0.4,0.421182266,0,0,0,0.357142857,0.333333333,A,400/50,0.206442183
0.4,0.421182266,0,0,0,0.464285714,0.333333333,A,400/50,0.286677027
0.4,0.421182266,0,0,0,0.571428571,0.333333333,A,400/50,0.370193809
0.4,0.421182266,0,0,0,0.678571429,0.333333333,A,400/50,0.45000001
0.4,0.421182266,0,0,0,0.785714286,0.333333333,A,400/50,0.518609805
0.4,0.421182266,0,0,0,0.892857143,0.333333333,A,400/50,0.569676686
0.4,0.421182266,0,0,0,1,0.333333333,A,400/50,0.594047229
0.4,0.421182266,0,0,0,0.035714286,0.666666667,A,400/50,0.022604085
0.4,0.421182266,0,0,0,0.142857143,0.666666667,A,400/50,0.083912997
0.4,0.421182266,0,0,0,0.25,0.666666667,A,400/50,0.157289554
0.4,0.421182266,0,0,0,0.357142857,0.666666667,A,400/50,0.240741086
0.4,0.421182266,0,0,0,0.464285714,0.666666667,A,400/50,0.331296772
0.4,0.421182266,0,0,0,0.571428571,0.666666667,A,400/50,0.432037296
0.4,0.421182266,0,0,0,0.678571429,0.666666667,A,400/50,0.533468248
0.4,0.421182266,0,0,0,0.785714286,0.666666667,A,400/50,0.626231022
0.4,0.421182266,0,0,0,0.892857143,0.666666667,A,400/50,0.698028419
