档距,初应力,高差,绝缘子串长度,绝缘子串夹角,冰厚,脱冰率,串型,导线型号,跳跃高度
0.4,0.421182266,0,0,0,0.25,0.333333333,A,400/50,0.1328062
0.4,0.421182266,0,0,0,0.357142857,0.333333333,A,400/50,0.205005905
0.4,0.421182266,0,0,0,0.464285714,0.333333333,A,400/50,0.283965826
0.4,0.421182266,0,0,0,0.571428571,0.333333333,A,400/50,0.369955019
0.4,0.421182266,0,0,0,0.678571429,0.333333333,A,400/50,0.453772304
0.4,0.421182266,0,0,0,0.785714286,0.333333333,A,400/50,0.52782042
0.4,0.421182266,0,0,0,0.892857143,0.333333333,A,400/50,0.585074421
0.4,0.421182266,0,0,0,1,0.333333333,A,400/50,0.61509908
0.4,0.421182266,0,0,0,0.035714286,0.666666667,A,400/50,0.02083527
0.4,0.421182266,0,0,0,0.142857143,0.666666667,A,400/50,0.081368065
0.4,0.421182266,0,0,0,0.25,0.666666667,A,400/50,0.154473403
0.4,0.421182266,0,0,0,0.357142857,0.666666667,A,400/50,0.238354954
0.4,0.421182266,0,0,0,0.464285714,0.666666667,A,400/50,0.330281668
0.4,0.421182266,0,0,0,0.571428571,0.666666667,A,400/50,0.428887822
0.4,0.421182266,0,0,0,0.678571429,0.666666667,A,400/50,0.534468022
0.4,0.421182266,0,0,0,0.785714286,0.666666667,A,400/50,0.63400811
0.4,0.421182266,0,0,0,0.892857143,0.666666667,A,400/50,0.715220519
0.4,0.421182266,0,0,0,1,0.666666667,A,400/50,0.762889899
0.4,0.421182266,0,0,0,0.035714286,0,A,400/50,0.010170689
0.4,0.421182266,0,0,0,0.142857143,0,A,400/50,0.056486924
0.4,0.421182266,0,0,0,0.25,0,A,400/50,0.111265566
0.4,0.421182266,0,0,0,0.357142857,0,A,400/50,0.172055821
0.4,0.421182266,0,0,0,0.464285714,0,A,400/50,0.240578749
0.4,0.421182266,0,0,0,0.571428571,0,A,400/50,0.310098501
0.4,0.421182266,0,0,0,0.678571429,0,A,400/50,0.374942882
0.4,0.421182266,0,0,0,0.785714286,0,A,400/50,0.431226392
0.4,0.421182266,0,0,0,0.892857143,0,A,400/50,0.473773282
0.4,0.421182266,0,0,0,1,0,A,400/50,0.493922252
0.4,0.421182266,0,0,0,0,0.1,A,400/50,0
0.4,0.421182266,0,0,0,0.107142857,0.1,A,400/50,0.048046923
0.4,0.421182266,0,0,0,0.214285714,0.1,A,400/50,0.1053817
0.4,0.421182266,0,0,0,0.321428571,0.1,A,400/50,0.169990238
0.4,0.421182266,0,0,0,0.428571429,0.1,A,400/50,0.242813352
0.4,0.421182266,0,0,0,0.535714286,0.1,A,400/50,0.316929077
0.4,0.421182266,0,0,0,0.642857143,0.1,A,400/50,0.386513686
0.4,0.421182266,0,0,0,0.75,0.1,A,400/50,0.447111141
0.4,0.421182266,0,0,0,0.857142857,0.1,A,400/50,0.491956901
0.4,0.421182266,0,0,0,0.964285714,0.1,A,400/50,0.511766848
0.4,0.421182266,0,0,0,0,0.4,A,400/50,0.00329039
0.4,0.421182266,0,0,0,0.107142857,0.4,A,400/50,0.057672227
0.4,0.421182266,0,0,0,0.214285714,0.4,A,400/50,0.123234157
0.4,0.421182266,0,0,0,0.321428571,0.4,A,400/50,0.197741773
0.4,0.421182266,0,0,0,0.428571429,0.4,A,400/50,0.281063396
0.4,0.421182266,0,0,0,0.535714286,0.4,A,400/50,0.370240584
0.4,0.421182266,0,0,0,0.642857143,0.4,A,400/50,0.457262766
0.4,0.421182266,0,0,0,0.75,0.4,A,400/50,0.534024835
0.4,0.421182266,0,0,0,0.857142857,0.4,A,400/50,0.592653402
0.4,0.421182266,0,0,0,0.964285714,0.4,A,400/50,0.622355744
0.4,0.421182266,0,0,0,0,0.7,A,400/50,0.006589624
0.4,0.421182266,0,0,0,0.107142857,0.7,A,400/50,0.067356885
0.4,0.421182266,0,0,0,0.214285714,0.7,A,400/50,0.141265855
0.4,0.421182266,0,0,0,0.321428571,0.7,A,400/50,0.226418202
0.4,0.421182266,0,0,0,0.428571429,0.7,A,400/50,0.319897149
0.4,0.421182266,0,0,0,0.535714286,0.7,A,400/50,0.423488218
0.4,0.421182266,0,0,0,0.642857143,0.7,A,400/50,0.530288311
0.4,0.421182266,0,0,0,0.75,0.7,A,400/50,0.629914482
0.4,0.421182266,0,0,0,0.857142857,0.7,A,400/50,0.709449464
0.4,0.421182266,0,0,0,0.964285714,0.7,A,400/50,0.7534004
0.4,0.421182266,0,0,0,0,0.266666667,A,400/50,0.001826793
0.4,0.421182266,0,0,0,0.107142857,0.266666667,A,400/50,0.053385994
0.4,0.421182266,0,0,0,0.214285714,0.266666667,A,400/50,0.115272326
0.4,0.421182266,0,0,0,0.321428571,0.266666667,A,400/50,0.18513346
0.4,0.421182266,0,0,0,0.428571429,0.266666667,A,400/50,0.264077265
0.4,0.421182266,0,0,0,0.535714286,0.266666667,A,400/50,0.346430953
0.4,0.421182266,0,0,0,0.642857143,0.266666667,A,400/50,0.425377313
0.4,0.421182266,0,0,0,0.75,0.266666667,A,400/50,0.493592663
0.4,0.421182266,0,0,0,0.857142857,0.266666667,A,400/50,0.54661035
0.4,0.421182266,0,0,0,0.964285714,0.266666667,A,400/50,0.570493682
0.4,0.421182266,0,0,0,0.035714286,1,B,400/50,0.044022868
0.4,0.421182266,0,0,0,0.142857143,1,B,400/50,0.114201406
0.4,0.421182266,0,0,0,0.25,1,B,400/50,0.197525584
0.4,0.421182266,0,0,0,0.357142857,1,B,400/50,0.29253613
0.4,0.421182266,0,0,0,0.464285714,1,B,400/50,0.397203228
0.4,0.421182266,0,0,0,0.571428571,1,B,400/50,0.508671618
0.4,0.421182266,0,0,0,0.678571429,1,B,400/50,0.626815321
0.4,0.421182266,0,0,0,0.785714286,1,B,400/50,0.750008009
0.4,0.421182266,0,0,0,0.892857143,1,B,400/50,0.858919478
0.4,0.421182266,0,0,0,1,1,B,400/50,0.92914656
0.4,0.421182266,0,0,0,0.035714286,0.333333333,B,400/50,0.032567626
0.4,0.421182266,0,0,0,0.142857143,0.333333333,B,400/50,0.08771654
0.4,0.421182266,0,0,0,0.25,0.333333333,B,400/50,0.151917072
0.4,0.421182266,0,0,0,0.357142857,0.333333333,B,400/50,0.222929705
0.4,0.421182266,0,0,0,0.464285714,0.333333333,B,400/50,0.302085964
0.4,0.421182266,0,0,0,0.571428571,0.333333333,B,400/50,0.384417837
0.4,0.421182266,0,0,0,0.678571429,0.333333333,B,400/50,0.462980364
0.4,0.421182266,0,0,0,0.785714286,0.333333333,B,400/50,0.530756851
0.4,0.421182266,0,0,0,0.892857143,0.333333333,B,400/50,0.582284606
0.4,0.421182266,0,0,0,1,0.333333333,B,400/50,0.607231979
0.4,0.421182266,0,0,0,0.035714286,0.666666667,B,400/50,0.038287779
0.4,0.421182266,0,0,0,0.142857143,0.666666667,B,400/50,0.100940794
0.4,0.421182266,0,0,0,0.25,0.666666667,B,400/50,0.174709241
0.4,0.421182266,0,0,0,0.357142857,0.666666667,B,400/50,0.257719749
0.4,0.421182266,0,0,0,0.464285714,0.666666667,B,400/50,0.347232816
0.4,0.421182266,0,0,0,0.571428571,0.666666667,B,400/50,0.446197646
0.4,0.421182266,0,0,0,0.678571429,0.666666667,B,400/50,0.546454891
0.4,0.421182266,0,0,0,0.785714286,0.666666667,B,400/50,0.638813196
0.4,0.421182266,0,0,0,0.892857143,0.666666667,B,400/50,0.711824197
0.4,0.421182266,0,0,0,1,0.666666667,B,400/50,0.75173398
0.4,0.421182266,0,0,0,0.035714286,0,B,400/50,0.026866734
0.4,0.421182266,0,0,0,0.142857143,0,B,400/50,0.074575813
0.4,0.421182266,0,0,0,0.25,0,B,400/50,0.129367819
0.4,0.421182266,0,0,0,0.357142857,0,B,400/50,0.190348714
0.4,0.421182266,0,0,0,0.464285714,0,B,400/50,0.256941667
0.4,0.421182266,0,0,0,0.571428571,0,B,400/50,0.322894898
0.4,0.421182266,0,0,0,0.678571429,0,B,400/50,0.383142128
0.4,0.421182266,0,0,0,0.785714286,0,B,400/50,0.435264205
0.4,0.421182266,0,0,0,0.892857143,0,B,400/50,0.471747596
0.4,0.421182266,0,0,0,1,0,B,400/50,0.487270327
0.4,0.421182266,0,0,0,0.035714286,1,B,400/50,0.027477172
0.4,0.421182266,0,0,0,0.142857143,1,B,400/50,0.095536669
0.4,0.421182266,0,0,0,0.25,1,B,400/50,0.177211525
0.4,0.421182266,0,0,0,0.357142857,1,B,400/50,0.271178469
0.4,0.421182266,0,0,0,0.464285714,1,B,400/50,0.375637437
0.4,0.421182266,0,0,0,0.571428571,1,B,400/50,0.488144908
0.4,0.421182266,0,0,0,0.678571429,1,B,400/50,0.605196072
0.4,0.421182266,0,0,0,0.785714286,1,B,400/50,0.725922246
0.4,0.421182266,0,0,0,0.892857143,1,B,400/50,0.845378606
0.4,0.421182266,0,0,0,1,1,B,400/50,0.933683965
0.4,0.421182266,0,0,0,0.035714286,0.333333333,B,400/50,0.01653528
0.4,0.421182266,0,0,0,0.142857143,0.333333333,B,400/50,0.070269141
0.4,0.421182266,0,0,0,0.25,0.333333333,B,400/50,0.133781407
0.4,0.421182266,0,0,0,0.357142857,0.333333333,B,400/50,0.205016321
0.4,0.421182266,0,0,0,0.464285714,0.333333333,B,400/50,0.281601509
0.4,0.421182266,0,0,0,0.571428571,0.333333333,B,400/50,0.365840165
0.4,0.421182266,0,0,0,0.678571429,0.333333333,B,400/50,0.448212524
0.4,0.421182266,0,0,0,0.785714286,0.333333333,B,400/50,0.52163448
0.4,0.421182266,0,0,0,0.892857143,0.333333333,B,400/50,0.57853118
0.4,0.421182266,0,0,0,1,0.333333333,B,400/50,0.612403799
0.4,0.421182266,0,0,0,0.035714286,0.666666667,B,400/50,0.022002295
0.4,0.421182266,0,0,0,0.142857143,0.666666667,B,400/50,0.082907327
0.4,0.421182266,0,0,0,0.25,0.666666667,B,400/50,0.15556319
0.4,0.421182266,0,0,0,0.357142857,0.666666667,B,400/50,0.238292653
0.4,0.421182266,0,0,0,0.464285714,0.666666667,B,400/50,0.328590877
0.4,0.421182266,0,0,0,0.571428571,0.666666667,B,400/50,0.423504727
0.4,0.421182266,0,0,0,0.678571429,0.666666667,B,400/50,0.526906532
0.4,0.421182266,0,0,0,0.785714286,0.666666667,B,400/50,0.625373146
0.4,0.421182266,0,0,0,0.892857143,0.666666667,B,400/50,0.707473894
0.4,0.421182266,0,0,0,1,0.666666667,B,400/50,0.759401598
0.4,0.421182266,0,0,0,0.035714286,0,B,400/50,0.011080449
0.4,0.421182266,0,0,0,0.142857143,0,B,400/50,0.057673799
0.4,0.421182266,0,0,0,0.25,0,B,400/50,0.112112042
0.4,0.421182266,0,0,0,0.357142857,0,B,400/50,0.172097487
0.4,0.421182266,0,0,0,0.464285714,0,B,400/50,0.238739967
0.4,0.421182266,0,0,0,0.571428571,0,B,400/50,0.3069449
0.4,0.421182266,0,0,0,0.678571429,0,B,400/50,0.370818987
0.4,0.421182266,0,0,0,0.785714286,0,B,400/50,0.425077597
0.4,0.421182266,0,0,0,0.892857143,0,B,400/50,0.468364048
0.4,0.421182266,0,0,0,1,0,B,400/50,0.490566023
0.4,0.421182266,0,0,0,0.035714286,1,A,400/50,0.025375623
0.4,0.421182266,0,0,0,0.142857143,1,A,400/50,0.092354964
0.4,0.421182266,0,0,0,0.25,1,A,400/50,0.174050063
0.4,0.421182266,0,0,0,0.357142857,1,A,400/50,0.269133522
0.4,0.421182266,0,0,0,0.464285714,1,A,400/50,0.375762826
0.4,0.421182266,0,0,0,0.571428571,1,A,400/50,0.491502316
0.4,0.421182266,0,0,0,0.678571429,1,A,400/50,0.612587166
0.4,0.421182266,0,0,0,0.785714286,1,A,400/50,0.737111772
0.4,0.421182266,0,0,0,0.892857143,1,A,400/50,0.862855682
0.4,0.421182266,0,0,0,1,1,A,400/50,0.95595453
0.4,0.421182266,0,0,0,0.035714286,0.333333333,A,400/50,0.014870235
0.4,0.421182266,0,0,0,0.142857143,0.333333333,A,400/50,0.067882026
0.4,0.421182266,0,0,0,0.25,0.333333333,A,400/50,0.131676517
0.4,0.421182266,0,0,0,0.357142857,0.333333333,A,400/50,0.204149798
0.4,0.421182266,0,0,0,0.464285714,0.333333333,A,400/50,0.282298815
0.4,0.421182266,0,0,0,0.571428571,0.333333333,A,400/50,0.369452479
0.4,0.421182266,0,0,0,0.678571429,0.333333333,A,400/50,0.455274224
0.4,0.421182266,0,0,0,0.785714286,0.333333333,A,400/50,0.532152249
0.4,0.421182266,0,0,0,0.892857143,0.333333333,A,400/50,0.592555528
0.4,0.421182266,0,0,0,1,0.333333333,A,400/50,0.626909264
0.4,0.421182266,0,0,0,0.035714286,0.666666667,A,400/50,0.034514895
0.4,0.421182266,0,0,0,0.142857143,0.666666667,A,400/50,0.095820663
0.4,0.421182266,0,0,0,0.25,0.666666667,A,400/50,0.169782894
0.4,0.421182266,0,0,0,0.357142857,0.666666667,A,400/50,0.254710012
0.4,0.421182266,0,0,0,0.464285714,0.666666667,A,400/50,0.348042737
0.4,0.421182266,0,0,0,0.571428571,0.666666667,A,400/50,0.446983197
0.4,0.421182266,0,0,0,0.678571429,0.666666667,A,400/50,0.555912551
0.4,0.421182266,0,0,0,0.785714286,0.666666667,A,400/50,0.660182451
0.4,0.421182266,0,0,0,0.892857143,0.666666667,A,400/50,0.74743222
0.4,0.421182266,0,0,0,1,0.666666667,A,400/50,0.801401138
0.4,0.421182266,0,0,0,0.035714286,0,A,400/50,0.023840291
0.4,0.421182266,0,0,0,0.142857143,0,A,400/50,0.070939522
0.4,0.421182266,0,0,0,0.25,0,A,400/50,0.126575056
0.4,0.421182266,0,0,0,0.357142857,0,A,400/50,0.18830986
0.4,0.421182266,0,0,0,0.464285714,0,A,400/50,0.257721715
0.4,0.421182266,0,0,0,0.571428571,0,A,400/50,0.328973334
0.4,0.421182266,0,0,0,0.678571429,0,A,400/50,0.395699341
0.4,0.421182266,0,0,0,0.785714286,0,A,400/50,0.455313138
0.4,0.421182266,0,0,0,0.892857143,0,A,400/50,0.500382752
0.4,0.421182266,0,0,0,1,0,A,400/50,0.522025388
0.4,0.421182266,0,0,0,0.035714286,1,B,400/50,0.026795981
0.4,0.421182266,0,0,0,0.142857143,1,B,400/50,0.094286117
0.4,0.421182266,0,0,0,0.25,1,B,400/50,0.175523289
0.4,0.421182266,0,0,0,0.357142857,1,B,400/50,0.269264415
0.4,0.421182266,0,0,0,0.464285714,1,B,400/50,0.373854078
0.4,0.421182266,0,0,0,0.571428571,1,B,400/50,0.487128821
0.4,0.421182266,0,0,0,0.678571429,1,B,400/50,0.605833042
0.4,0.421182266,0,0,0,0.785714286,1,B,400/50,0.724723382
0.4,0.421182266,0,0,0,0.892857143,1,B,400/50,0.849573843
0.4,0.421182266,0,0,0,1,1,B,400/50,0.948776677
0.4,0.421182266,0,0,0,0.035714286,0.333333333,B,400/50,0.016017017
0.4,0.421182266,0,0,0,0.142857143,0.333333333,B,400/50,0.069446642
0.4,0.421182266,0,0,0,0.25,0.333333333,B,400/50,0.132924318
0.4,0.421182266,0,0,0,0.357142857,0.333333333,B,400/50,0.204488232
0.4,0.421182266,0,0,0,0.464285714,0.333333333,B,400/50,0.281235954
0.4,0.421182266,0,0,0,0.571428571,0.333333333,B,400/50,0.365769019
0.4,0.421182266,0,0,0,0.678571429,0.333333333,B,400/50,0.450234673
0.4,0.421182266,0,0,0,0.785714286,0.333333333,B,400/50,0.526633545
0.4,0.421182266,0,0,0,0.892857143,0.333333333,B,400/50,0.586987297
0.4,0.421182266,0,0,0,1,0.333333333,B,400/50,0.62449208
0.4,0.421182266,0,0,0,0.035714286,0.666666667,B,400/50,0.021405418
0.4,0.421182266,0,0,0,0.142857143,0.666666667,B,400/50,0.081888293
0.4,0.421182266,0,0,0,0.25,0.666666667,B,400/50,0.154348603
0.4,0.421182266,0,0,0,0.357142857,0.666666667,B,400/50,0.237216623
0.4,0.421182266,0,0,0,0.464285714,0.666666667,B,400/50,0.328126072
0.4,0.421182266,0,0,0,0.571428571,0.666666667,B,400/50,0.423736442
0.4,0.421182266,0,0,0,0.678571429,0.666666667,B,400/50,0.527026419
0.4,0.421182266,0,0,0,0.785714286,0.666666667,B,400/50,0.628870881
0.4,0.421182266,0,0,0,0.892857143,0.666666667,B,400/50,0.716165263
0.4,0.421182266,0,0,0,1,0.666666667,B,400/50,0.774358898
0.4,0.421182266,0,0,0,0.035714286,0,B,400/50,0.010635691
0.4,0.421182266,0,0,0,0.142857143,0,B,400/50,0.057017962
0.4,0.421182266,0,0,0,0.25,0,B,400/50,0.111521061
0.4,0.421182266,0,0,0,0.357142857,0,B,400/50,0.171911958
0.4,0.421182266,0,0,0,0.464285714,0,B,400/50,0.238293046
0.4,0.421182266,0,0,0,0.571428571,0,B,400/50,0.30774578
0.4,0.421182266,0,0,0,0.678571429,0,B,400/50,0.37341836
0.4,0.421182266,0,0,0,0.785714286,0,B,400/50,0.429898995
0.4,0.421182266,0,0,0,0.892857143,0,B,400/50,0.475910208
0.4,0.421182266,0,0,0,1,0,B,400/50,0.50119228
0.8,1,0,0.239336493,0.666666667,0.642857143,0.333333333,C,500/65,0.404926072
0.8,1,0,0.239336493,0.666666667,0.714285714,0.333333333,C,500/65,0.450095329
0.8,1,0,0.239336493,0.666666667,0.785714286,0.333333333,C,500/65,0.490556196
0.8,1,0,0.239336493,0.666666667,0.857142857,0.333333333,C,500/65,0.525321281
0.8,1,0,0.239336493,0.666666667,0.928571429,0.333333333,C,500/65,0.553828886
0.8,1,0,0.239336493,0.666666667,0.642857143,0.333333333,C,500/65,0.427904361
0.8,1,0,0.239336493,0.666666667,0.714285714,0.333333333,C,500/65,0.473011906
0.8,1,0,0.239336493,0.666666667,0.785714286,0.333333333,C,500/65,0.513220618
0.8,1,0,0.239336493,0.666666667,0.857142857,0.333333333,C,500/65,0.547546643
0.8,1,0,0.239336493,0.666666667,0.928571429,0.333333333,C,500/65,0.575446562
0.8,1,0,0.239336493,0.666666667,0.642857143,0.333333333,C,500/65,0.416806616
0.8,1,0,0.239336493,0.666666667,0.714285714,0.333333333,C,500/65,0.461947572
0.8,1,0,0.239336493,0.666666667,0.785714286,0.333333333,C,500/65,0.502281477
0.8,1,0,0.239336493,0.666666667,0.857142857,0.333333333,C,500/65,0.536822708
0.8,1,0,0.239336493,0.666666667,0.928571429,0.333333333,C,500/65,0.565019395
0.8,1,0,0.239336493,0.666666667,0.642857143,0.333333333,C,500/65,0.410349457
0.8,1,0,0.239336493,0.666666667,0.714285714,0.333333333,C,500/65,0.455709353
0.8,1,0,0.239336493,0.666666667,0.785714286,0.333333333,C,500/65,0.496361448
0.8,1,0,0.239336493,0.666666667,0.857142857,0.333333333,C,500/65,0.53129968
0.8,1,0,0.239336493,0.666666667,0.928571429,0.333333333,C,500/65,0.559940143
0.8,1,0,0.239336493,0.666666667,0.642857143,0.333333333,C,500/65,0.468212323
0.8,1,0,0.239336493,0.666666667,0.714285714,0.333333333,C,500/65,0.513581653
0.8,1,0,0.239336493,0.666666667,0.785714286,0.333333333,C,500/65,0.553708803
0.8,1,0,0.239336493,0.666666667,0.857142857,0.333333333,C,500/65,0.587593214
0.8,1,0,0.239336493,0.666666667,0.928571429,0.333333333,C,500/65,0.614701883
0.8,1,0,0.239336493,0.666666667,0.642857143,0.333333333,C,500/65,0.44020942
0.8,1,0,0.239336493,0.666666667,0.714285714,0.333333333,C,500/65,0.485599779
0.8,1,0,0.239336493,0.666666667,0.785714286,0.333333333,C,500/65,0.526006795
0.8,1,0,0.239336493,0.666666667,0.857142857,0.333333333,C,500/65,0.560426568
0.8,1,0,0.239336493,0.666666667,0.928571429,0.333333333,C,500/65,0.58830074
1,1,0,0.53436019,0,0.642857143,0.333333333,B,500/65,0.426438995
1,1,0,0.53436019,0,0.714285714,0.333333333,B,500/65,0.47474161
1,1,0,0.53436019,0,0.785714286,0.333333333,B,500/65,0.51897654
1,1,0,0.53436019,0,0.857142857,0.333333333,B,500/65,0.558586213
1,1,0,0.53436019,0,0.928571429,0.333333333,B,500/65,0.593387067
1,1,0,0.53436019,0,0.642857143,0.333333333,B,500/65,0.453013482
1,1,0,0.53436019,0,0.714285714,0.333333333,B,500/65,0.501212916
1,1,0,0.53436019,0,0.785714286,0.333333333,B,500/65,0.545170928
1,1,0,0.53436019,0,0.857142857,0.333333333,B,500/65,0.584355496
1,1,0,0.53436019,0,0.928571429,0.333333333,B,500/65,0.618615289
1,1,0,0.53436019,0,0.642857143,0.333333333,B,500/65,0.440909281
1,1,0,0.53436019,0,0.714285714,0.333333333,B,500/65,0.494261668
1,1,0,0.53436019,0,0.785714286,0.333333333,B,500/65,0.545248166
1,1,0,0.53436019,0,0.857142857,0.333333333,B,500/65,0.595684759
1,1,0,0.53436019,0,0.928571429,0.333333333,B,500/65,0.640609526
1,1,0,0.239336493,0,0.642857143,0.333333333,B,500/65,0.409215646
1,1,0,0.239336493,0,0.714285714,0.333333333,B,500/65,0.451293997
1,1,0,0.239336493,0,0.785714286,0.333333333,B,500/65,0.488582788
1,1,0,0.239336493,0,0.857142857,0.333333333,B,500/65,0.520710175
1,1,0,0.239336493,0,0.928571429,0.333333333,B,500/65,0.547767155
1,1,0,0.239336493,0,0.642857143,0.333333333,B,500/65,0.472577956
1,1,0,0.239336493,0,0.714285714,0.333333333,B,500/65,0.514315711
1,1,0,0.239336493,0,0.785714286,0.333333333,B,500/65,0.581567253
1,1,0,0.239336493,0,0.857142857,0.333333333,B,500/65,0.581567253
1,1,0,0.239336493,0,0.928571429,0.333333333,B,500/65,0.60703112
1,1,0,0.239336493,0,0.642857143,0.333333333,B,500/65,0.446599167
1,1,0,0.239336493,0,0.714285714,0.333333333,B,500/65,0.495199926
1,1,0,0.239336493,0,0.785714286,0.333333333,B,500/65,0.539575968
1,1,0,0.239336493,0,0.857142857,0.333333333,B,500/65,0.579008956
1,1,0,0.239336493,0,0.928571429,0.333333333,B,500/65,0.614194429
0.8,1,1,0.239336493,0.666666667,0.642857143,0.333333333,C,500/65,0.407775437
0.8,1,1,0.239336493,0.666666667,0.714285714,0.333333333,C,500/65,0.453266029
0.8,1,1,0.239336493,0.666666667,0.785714286,0.333333333,C,500/65,0.493953304
0.8,1,1,0.239336493,0.666666667,0.857142857,0.333333333,C,500/65,0.52878639
0.8,1,1,0.239336493,0.666666667,0.928571429,0.333333333,C,500/65,0.557135785
0.8,1,1,0.239336493,0.666666667,0.642857143,0.333333333,C,500/65,0.430753333
0.8,1,1,0.239336493,0.666666667,0.714285714,0.333333333,C,500/65,0.476186929
0.8,1,1,0.239336493,0.666666667,0.785714286,0.333333333,C,500/65,0.516618512
0.8,1,1,0.239336493,0.666666667,0.857142857,0.333333333,C,500/65,0.55099603
0.8,1,1,0.239336493,0.666666667,0.928571429,0.333333333,C,500/65,0.578706096
0.8,1,1,0.239336493,0.666666667,0.642857143,0.333333333,C,500/65,0.419656178
0.8,1,1,0.239336493,0.666666667,0.714285714,0.333333333,C,500/65,0.465121023
0.8,1,1,0.239336493,0.666666667,0.785714286,0.333333333,C,500/65,0.505679568
0.8,1,1,0.239336493,0.666666667,0.857142857,0.333333333,C,500/65,0.540280742
0.8,1,1,0.239336493,0.666666667,0.928571429,0.333333333,C,500/65,0.568303103
0.8,1,1,0.239336493,0.666666667,0.642857143,0.333333333,C,500/65,0.413180151
0.8,1,1,0.239336493,0.666666667,0.714285714,0.333333333,C,500/65,0.458877891
0.8,1,1,0.239336493,0.666666667,0.785714286,0.333333333,C,500/65,0.499777424
0.8,1,1,0.239336493,0.666666667,0.857142857,0.333333333,C,500/65,0.534809796
0.8,1,1,0.239336493,0.666666667,0.928571429,0.333333333,C,500/65,0.563322905
0.8,1,1,0.239336493,0.666666667,0.642857143,0.333333333,C,500/65,0.471089793
0.8,1,1,0.239336493,0.666666667,0.714285714,0.333333333,C,500/65,0.516808169
0.8,1,1,0.239336493,0.666666667,0.785714286,0.333333333,C,500/65,0.557170571
0.8,1,1,0.239336493,0.666666667,0.857142857,0.333333333,C,500/65,0.591101561
0.8,1,1,0.239336493,0.666666667,0.928571429,0.333333333,C,500/65,0.61799188
0.8,1,1,0.239336493,0.666666667,0.642857143,0.333333333,C,500/65,0.44306645
0.8,1,1,0.239336493,0.666666667,0.714285714,0.333333333,C,500/65,0.488801335
0.8,1,1,0.239336493,0.666666667,0.785714286,0.333333333,C,500/65,0.529450875
0.8,1,1,0.239336493,0.666666667,0.857142857,0.333333333,C,500/65,0.563942776
0.8,1,1,0.239336493,0.666666667,0.928571429,0.333333333,C,500/65,0.591645374
1,1,1,0.53436019,0,0.642857143,0.333333333,B,500/65,0.430906433
1,1,1,0.53436019,0,0.714285714,0.333333333,B,500/65,0.479810249
1,1,1,0.53436019,0,0.785714286,0.333333333,B,500/65,0.524616506
1,1,1,0.53436019,0,0.857142857,0.333333333,B,500/65,0.564714569
1,1,1,0.53436019,0,0.928571429,0.333333333,B,500/65,0.59986329
1,1,1,0.53436019,0,0.642857143,0.333333333,B,500/65,0.457553441
1,1,1,0.53436019,0,0.714285714,0.333333333,B,500/65,0.506366262
1,1,1,0.53436019,0,0.785714286,0.333333333,B,500/65,0.550899924
1,1,1,0.53436019,0,0.857142857,0.333333333,B,500/65,0.590567182
1,1,1,0.53436019,0,0.928571429,0.333333333,B,500/65,0.625156761
1,1,1,0.53436019,0,0.642857143,0.333333333,B,500/65,0.444679806
1,1,1,0.53436019,0,0.714285714,0.333333333,B,500/65,0.493539205
1,1,1,0.53436019,0,0.785714286,0.333333333,B,500/65,0.538207298
1,1,1,0.53436019,0,0.857142857,0.333333333,B,500/65,0.578085045
1,1,1,0.53436019,0,0.928571429,0.333333333,B,500/65,0.612946825
1,1,1,0.239336493,0,0.642857143,0.333333333,B,500/65,0.413581083
1,1,1,0.239336493,0,0.714285714,0.333333333,B,500/65,0.456138782
1,1,1,0.239336493,0,0.785714286,0.333333333,B,500/65,0.493803152
1,1,1,0.239336493,0,0.857142857,0.333333333,B,500/65,0.526130612
1,1,1,0.239336493,0,0.928571429,0.333333333,B,500/65,0.553146123
1,1,1,0.239336493,0,0.642857143,0.333333333,B,500/65,0.477208518
1,1,1,0.239336493,0,0.714285714,0.333333333,B,500/65,0.519430536
1,1,1,0.239336493,0,0.785714286,0.333333333,B,500/65,0.556193792
1,1,1,0.239336493,0,0.857142857,0.333333333,B,500/65,0.587147866
1,1,1,0.239336493,0,0.928571429,0.333333333,B,500/65,0.612444678
1,1,1,0.239336493,0,0.642857143,0.333333333,B,500/65,0.446381996
1,1,1,0.239336493,0,0.714285714,0.333333333,B,500/65,0.488793277
1,1,1,0.239336493,0,0.785714286,0.333333333,B,500/65,0.526019177
1,1,1,0.239336493,0,0.857142857,0.333333333,B,500/65,0.557661712
1,1,1,0.239336493,0,0.928571429,0.333333333,B,500/65,0.583809521
0.8,1,0,0.239336493,0.666666667,0.642857143,0.333333333,C,500/65,0.407017205
0.8,1,0,0.239336493,0.666666667,0.714285714,0.333333333,C,500/65,0.452236579
0.8,1,0,0.239336493,0.666666667,0.785714286,0.333333333,C,500/65,0.492749527
0.8,1,0,0.239336493,0.666666667,0.857142857,0.333333333,C,500/65,0.527561977
0.8,1,0,0.239336493,0.666666667,0.928571429,0.333333333,C,500/65,0.55610319
0.8,1,0,0.239336493,0.666666667,0.642857143,0.333333333,C,500/65,0.450538319
0.8,1,0,0.239336493,0.666666667,0.714285714,0.333333333,C,500/65,0.495618742
0.8,1,0,0.239336493,0.666666667,0.785714286,0.333333333,C,500/65,0.535634457
0.8,1,0,0.239336493,0.666666667,0.857142857,0.333333333,C,500/65,0.569597286
0.8,1,0,0.239336493,0.666666667,0.928571429,0.333333333,C,500/65,0.596972063
