
 ** MIDAS/Civil Beam Element Time-history Output Data ** 
___________________________________________________________


 单元=     2 梁单元     内力 时程 (局部)      单位体系 ..: m, N
--------------------------------------------- 

  TIME        AXIAL       SHEAR-y      SHEAR-z      TORSION      MOMENT-y     MOMENT-z 
  0.620 I  -0.000e+000   0.000e+000  -4.623e+001  -0.000e+000  -9.833e+001  -0.000e+000
        J   0.000e+000  -0.000e+000  -4.623e+001   0.000e+000   4.035e+001   0.000e+000
  0.640 I  -0.000e+000   0.000e+000  -4.944e+001  -0.000e+000  -1.055e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -4.944e+001   0.000e+000   4.279e+001   0.000e+000
  0.660 I  -0.000e+000   0.000e+000  -5.261e+001  -0.000e+000  -1.127e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.261e+001   0.000e+000   4.510e+001   0.000e+000
  0.680 I  -0.000e+000   0.000e+000  -5.560e+001  -0.000e+000  -1.196e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.560e+001   0.000e+000   4.714e+001   0.000e+000
  0.700 I  -0.000e+000   0.000e+000  -5.803e+001  -0.000e+000  -1.256e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.803e+001   0.000e+000   4.851e+001   0.000e+000
  0.720 I  -0.000e+000   0.000e+000  -5.942e+001  -0.000e+000  -1.296e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.942e+001   0.000e+000   4.870e+001   0.000e+000
  0.740 I  -0.000e+000   0.000e+000  -5.942e+001  -0.000e+000  -1.309e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.942e+001   0.000e+000   4.733e+001   0.000e+000
  0.760 I  -0.000e+000   0.000e+000  -5.769e+001  -0.000e+000  -1.290e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.769e+001   0.000e+000   4.406e+001   0.000e+000
  0.780 I  -0.000e+000   0.000e+000  -5.395e+001  -0.000e+000  -1.233e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.395e+001   0.000e+000   3.859e+001   0.000e+000
  0.800 I  -0.000e+000   0.000e+000  -4.835e+001  -0.000e+000  -1.140e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -4.835e+001   0.000e+000   3.107e+001   0.000e+000
  0.820 I  -0.000e+000   0.000e+000  -4.123e+001  -0.000e+000  -1.018e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -4.123e+001   0.000e+000   2.191e+001   0.000e+000
  0.840 I  -0.000e+000   0.000e+000  -3.280e+001  -0.000e+000  -8.709e+001  -0.000e+000
        J   0.000e+000  -0.000e+000  -3.280e+001   0.000e+000   1.133e+001   0.000e+000
  0.860 I  -0.000e+000   0.000e+000  -2.317e+001  -0.000e+000  -7.007e+001  -0.000e+000
