
 ** MIDAS/Civil Beam Element Time-history Output Data ** 
___________________________________________________________


 单元=     1 梁单元     内力 时程 (局部)      单位体系 ..: m, N
--------------------------------------------- 

  TIME        AXIAL       SHEAR-y      SHEAR-z      TORSION      MOMENT-y     MOMENT-z 
------- -  -----------  -----------  -----------  -----------  -----------  ----------- 
  0.020 I  -0.000e+000   0.000e+000   1.138e-001  -0.000e+000   1.780e-001  -0.000e+000
        J   0.000e+000  -0.000e+000   1.138e-001   0.000e+000  -1.633e-001   0.000e+000
  0.040 I  -0.000e+000   0.000e+000   3.929e-001  -0.000e+000   6.149e-001  -0.000e+000
        J   0.000e+000  -0.000e+000   3.929e-001   0.000e+000  -5.637e-001   0.000e+000
  0.060 I  -0.000e+000   0.000e+000   7.813e-001  -0.000e+000   1.223e+000  -0.000e+000
        J   0.000e+000  -0.000e+000   7.813e-001   0.000e+000  -1.121e+000   0.000e+000
  0.080 I  -0.000e+000   0.000e+000   1.359e+000  -0.000e+000   2.129e+000  -0.000e+000
        J   0.000e+000  -0.000e+000   1.359e+000   0.000e+000  -1.949e+000   0.000e+000
  0.100 I  -0.000e+000   0.000e+000   2.273e+000  -0.000e+000   3.560e+000  -0.000e+000
        J   0.000e+000  -0.000e+000   2.273e+000   0.000e+000  -3.258e+000   0.000e+000
  0.120 I  -0.000e+000   0.000e+000   3.582e+000  -0.000e+000   5.613e+000  -0.000e+000
        J   0.000e+000  -0.000e+000   3.582e+000   0.000e+000  -5.133e+000   0.000e+000
  0.140 I  -0.000e+000   0.000e+000   5.176e+000  -0.000e+000   8.114e+000  -0.000e+000
        J   0.000e+000  -0.000e+000   5.176e+000   0.000e+000  -7.414e+000   0.000e+000
  0.160 I  -0.000e+000   0.000e+000   6.859e+000  -0.000e+000   1.076e+001  -0.000e+000
        J   0.000e+000  -0.000e+000   6.859e+000   0.000e+000  -9.819e+000   0.000e+000
  0.180 I  -0.000e+000   0.000e+000   8.540e+000  -0.000e+000   1.340e+001  -0.000e+000
        J   0.000e+000  -0.000e+000   8.540e+000   0.000e+000  -1.222e+001   0.000e+000
  0.200 I  -0.000e+000   0.000e+000   1.033e+001  -0.000e+000   1.623e+001  -0.000e+000
        J   0.000e+000  -0.000e+000   1.033e+001   0.000e+000  -1.477e+001   0.000e+000
  0.220 I  -0.000e+000   0.000e+000   1.246e+001  -0.000e+000   1.958e+001  -0.000e+000
        J   0.000e+000  -0.000e+000   1.246e+001   0.000e+000  -1.779e+001   0.000e+000
  0.240 I  -0.000e+000   0.000e+000   1.500e+001  -0.000e+000   2.359e+001  -0.000e+000
        J   0.000e+000  -0.000e+000   1.500e+001   0.000e+000  -2.140e+001   0.000e+000
  0.260 I  -0.000e+000   0.000e+000   1.778e+001  -0.000e+000   2.799e+001  -0.000e+000
        J   0.000e+000  -0.000e+000   1.778e+001   0.000e+000  -2.534e+001   0.000e+000
  0.280 I  -0.000e+000   0.000e+000   2.060e+001  -0.000e+000   3.246e+001  -0.000e+000
        J   0.000e+000  -0.000e+000   2.060e+001   0.000e+000  -2.934e+001   0.000e+000
  0.300 I  -0.000e+000   0.000e+000   2.343e+001  -0.000e+000   3.696e+001  -0.000e+000
        J   0.000e+000  -0.000e+000   2.343e+001   0.000e+000  -3.333e+001   0.000e+000
